endereco,preco,metragem,quartos,vaga,lat,lng,distancia_metro_km
"QN 320, SAMAMBAIA SUL, SAMAMBAIA",270000.0,58,2,1,-15.8680685,-48.0841972,2.7087148680407465
QN 407,270000.0,41,2,0,-15.8791823,-48.0054652,5.865526999766807
QR 612 CONJUNTO 8,269000.0,58,2,1,-15.8818665,-48.092267,3.2055931034871707
QR 406 CONJUNTO 21,269000.0,58,2,1,-15.8619249,-48.0820175,2.5620794461989607
QR 604 CONJUNTO 6,265000.0,57,2,1,-15.8821861,-48.0930747,3.278787286728045
"QN 122, SAMAMBAIA SUL, SAMAMBAIA",265000.0,34,1,1,-15.8663461,-48.0602033,0.5012107288004871
QN 103,265000.0,55,2,1,-15.8791823,-48.0054652,5.865526999766807
"QN 502 CONJUNTO 9, SAMAMBAIA SUL, SAMAMBAIA",265000.0,50,2,1,-15.885615,-48.1001404,3.946005882276
"QN 414, SAMAMBAIA NORTE, SAMAMBAIA",265000.0,47,2,1,-15.8805721,-48.0933349,3.3579594057975295
"QN 414, SAMAMBAIA NORTE, SAMAMBAIA",265000.0,50,2,1,-15.8805721,-48.0933349,3.3579594057975295
"QN 217, SAMAMBAIA NORTE, SAMAMBAIA",263990.0,45,2,1,-15.8805721,-48.0933349,3.3579594057975295
QR 604 CONJUNTO 6,263000.0,58,2,1,-15.8821861,-48.0930747,3.278787286728045
"QR 210, SAMAMBAIA NORTE, SAMAMBAIA",260000.0,55,2,1,-15.8690878,-48.0715818,1.4197517258905736
"QR 402, SAMAMBAIA NORTE, SAMAMBAIA",260000.0,53,2,1,-15.8670579,-48.0886022,3.1924022295698684
QR 403 CONJUNTO 5,260000.0,51,2,1,-15.8778503,-48.0970077,3.829936348287109
"QR 108, SAMAMBAIA SUL, SAMAMBAIA",260000.0,62,2,1,-15.8630378,-48.0834912,2.7208052371896208
QN 403,260000.0,48,2,1,-15.8791823,-48.0054652,5.865526999766807
QR 406 CONJUNTO 21,259000.0,60,3,1,-15.8619249,-48.0820175,2.5620794461989607
"QR 411, SAMAMBAIA NORTE, SAMAMBAIA",258900.0,45,2,1,-15.8783873,-48.1082228,4.95446119660354
QN 325,258040.0,53,2,1,-15.9010072,-48.0380484,2.986234423926956
QN 321,255000.0,61,2,1,-15.8791823,-48.0054652,5.865526999766807
"QN 502 CONJUNTO 9, SAMAMBAIA SUL, SAMAMBAIA",255000.0,50,2,1,-15.885615,-48.1001404,3.946005882276
"QR 405, SAMAMBAIA NORTE, SAMAMBAIA",255000.0,45,2,1,-15.8728068,-48.0999519,4.2785751956247005
"QN 320, SAMAMBAIA SUL, SAMAMBAIA",255000.0,54,2,1,-15.8680685,-48.0841972,2.7087148680407465
QN 404,255000.0,48,2,1,-15.8791823,-48.0054652,5.865526999766807
QR 410 CONJUNTO 15,255000.0,58,2,1,-15.8834273,-48.0932545,3.263063533495238
"QN 210, SAMAMBAIA NORTE, SAMAMBAIA",250000.0,60,2,1,-15.8662048,-48.0928303,3.6532964180534817
"QR 406, SAMAMBAIA NORTE, SAMAMBAIA",250000.0,50,2,1,-15.864582,-48.0882041,3.23422634878997
