endereco,preco,metragem,quartos,vaga
"QR 307, SAMAMBAIA SUL, SAMAMBAIA",295000.0,46,2,1
"QR 103, SAMAMBAIA SUL, SAMAMBAIA",295000.0,27,2,1
"QN 614, SAMAMBAIA NORTE, SAMAMBAIA",293000.0,53,2,1
QN 412,290000.0,49,2,1
"QR 202 CONJUNTO 1, SAMAMBAIA NORTE, SAMAMBAIA",290000.0,38,1,1
QR 104 CONJUNTO 7,290000.0,68,2,1
"QR 103, SAMAMBAIA SUL, SAMAMBAIA",290000.0,50,2,1
"QN 502 CONJUNTO 9, SAMAMBAIA SUL, SAMAMBAIA",290000.0,60,3,0
"QN 106 CONJUNTO 1, SAMAMBAIA SUL, SAMAMBAIA",290000.0,60,2,1
"QR 402, SAMAMBAIA NORTE, SAMAMBAIA",290000.0,57,2,1
"QR 202 CONJUNTO 1, SAMAMBAIA NORTE, SAMAMBAIA",290000.0,45,2,1
"QR 510 CONJUNTO 1, SAMAMBAIA SUL, SAMAMBAIA",290000.0,150,1,0
"QR 203, SAMAMBAIA NORTE, SAMAMBAIA",290000.0,50,2,1
"QR 414, SAMAMBAIA NORTE, SAMAMBAIA",289900.0,70,3,1
"QN 106 CONJUNTO 1, SAMAMBAIA SUL, SAMAMBAIA",289000.0,55,2,1
"QR 210, SAMAMBAIA NORTE, SAMAMBAIA",289000.0,53,2,1
"QR 202, SAMAMBAIA NORTE, SAMAMBAIA",289000.0,26,1,0
QR 406 CONJUNTO 21,289000.0,60,3,1
"QR 210, SAMAMBAIA NORTE, SAMAMBAIA",285000.0,53,2,1
"QR 401 CONJUNTO 10, SAMAMBAIA NORTE, SAMAMBAIA",285000.0,48,2,1
QR 114 CONJUNTO 4,285000.0,49,2,1
"QN 402, SAMAMBAIA NORTE, SAMAMBAIA",285000.0,57,2,1
"QR 414, SAMAMBAIA NORTE, SAMAMBAIA",284990.0,60,3,1
QR 114 CONJUNTO 4,281900.0,50,2,1
QR 410 CONJUNTO 15,280000.0,46,2,1
"QN 108 CONJUNTO 2, SAMAMBAIA SUL, SAMAMBAIA",280000.0,46,2,1
"QN 502, SAMAMBAIA SUL, SAMAMBAIA",280000.0,70,3,1
"QN 320, SAMAMBAIA SUL, SAMAMBAIA",280000.0,58,2,1
"QN 120 CONJUNTO 1, SAMAMBAIA SUL, SAMAMBAIA",280000.0,49,2,1
"QN 320, SAMAMBAIA SUL, SAMAMBAIA",280000.0,47,2,0
"QN 412, SAMAMBAIA NORTE, SAMAMBAIA",280000.0,52,2,1
"QN 502 CONJUNTO 9, SAMAMBAIA SUL, SAMAMBAIA",280000.0,70,3,1
"QN 307 CONJUNTO 2, SAMAMBAIA SUL, SAMAMBAIA",279479.0,47,2,0
QR 406 CONJUNTO 21,279000.0,60,3,1
